#NitrogenHT,HeliumHT,NitrogenA,NitrogenB,HeliumA,HeliumB
5.00,1.88,1.1696,0.557,1.6189,0.4770
8.00,3.02,1.000,0.6514,1.3830,0.5747
12.50,4.72,0.8618,0.7222,1.1919,0.6527
18.50,6.99,0.7562,0.782,1.0458,0.7223
27.00,10.21,0.6200,0.8126,0.9220,0.7582
38.30,14.48,0.5043,0.8434,0.8205,0.7957
54.30,20.53,0.4410,0.8693,0.7305,0.8279
77.00,29.11,0.4000,0.8910,0.6502,0.8553
109.00,41.20,0.3750,0.9092,0.5950,0.8757
146.00,55.19,0.3500,0.9222,0.5545,0.8903
187.00,70.69,0.3295,0.9319,0.5333,0.8997
239.00,90.34,0.3065,0.9403,0.5189,0.9073
305.00,115.29,0.2835,0.9477,0.5181,0.9122
390.00,147.42,0.2610,0.9544,0.5176,0.9171
498.00,188.24,0.2480,0.9602,0.5172,0.9217
635.00,240.03,0.2327,0.9653,0.5119,0.9267
